,Unnamed: 0,index,mr_new,pseudo_mr,da,text,,,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria,da_acc
10835,10835,1083,Que Calor producer Diplo. Diplo genre hip hop music. Jamie Foxx genre hip hop music. Que Calor record label Mad Decent. Que Calor performer El Alfa.,Que Calor Diplo Jamie Foxx hip hop music Mad Decent El Alfa,inform," Que Calor by El Alfa is a hip hop song produced by Diplo, released by Mad Decent. Jamie Foxx is another notable hip hop artist.",25,25,3,5,(X (X) (X) (X (X (X)))),0.01146988433,87.18483734,6.115886085,0.8687022,inform,match_scores,1
10840,10840,1084,Kings of the Wild Frontier rating excellent. Kings of the Wild Frontier record label Sony Music. Fungus Amongus record label Sony Music.,Kings of the Wild Frontier excellent Fungus Amongus Sony Music,give_opinion,Kings of the Wild Frontier and Fungus Amongus are both excellent songs released by Sony Music.,16,16,3,3,(X (X (X (X))),0.005650037524,176.989975,28.17595049,0.90281403,give_opinion,match_scores,1
10858,10858,1085,"Waka Waka (This Time for Africa) producer Shakira. Shakira record label RCA Records, Inc.. RCA Records, Inc. genre pop music. ","Waka Waka (This Time for Africa) Shakira RCA Records, Inc. pop music",inform," Waka Waka (This Time for Africa) is a pop music single by Shakira, released by RCA Records, Inc.",18,18,3,3,(X (X (X (X))),0.0185941626,53.78031921,48.84391792,0.9564992,inform,match_scores,1
10863,10863,1086,Wild performer Troye Sivan. Troye Sivan genre pop music. Crazy in Love genre pop music. Wild part of Wild. Blue Neighbourhood tracklist Wild. Wild record label Universal Music Australia.,Wild Troye Sivan Crazy in Love pop music Blue Neighbourhood Universal Music Australia,inform," Wild by Troye Sivan is a part of the pop music album Wild, released by Universal Music Australia and featured in the Blue Neighbourhood tracklist.",25,25,3,6,(X (X) (X) (X) (X (X (X)))),0.01520362125,65.77380371,8.98899384,0.8543226,inform,match_scores,1
10877,10877,1087,Space Oddity performer David Bowie. David Bowie genre glam rock. Jim Lea genre glam rock. Space Oddity producer Gus Dudgeon.,Space Oddity David Bowie Jim Lea glam rock Gus Dudgeon,inform," Space Oddity is a glam rock song by David Bowie, produced by Gus Dudgeon. Jim Lea is another notable glam rock artist.",22,22,3,4,(X (X) (X (X (X)))),0.01200384498,83.30664063,6.735883427,0.88558066,inform,match_scores,1
10881,10881,1088,Y.M.C.A. genre disco. disco part of African-American music. Raiz Coral genre African-American music. Cruisin' tracklist Y.M.C.A.. Y.M.C.A. record label Casablanca Records. Y.M.C.A. publication date 1978.,Y.M.C.A. disco Raiz Coral African-American music Cruisin' Casablanca Records 1978,inform," Y.M.C.A. is a disco song released by Casablanca Records in 1978 and is part of African-American music, such as Raiz Coral. It is featured in the tracklist of Cruisin'.",29,29,3,6,(X (X) (X) (X) (X (X (X)))),0.02026416605,49.34819412,22.54521789,0.8824804,inform,match_scores,1
10893,10893,1089,Wanna Get to Know You rating good. Wanna Get to Know You genre hip hop music. 5 O'Clock genre hip hop music.,Wanna Get to Know You good 5 O'Clock hip hop music,verify_attribute,"
I know you like Wanna Get to Know You. Is 5 O'Clock's hip hop music also good in your opinion?",20,20,3,3,(X (X (X (X))),0.0150434845,66.47396088,22.86672223,0.81611997,verify_attribute,match_scores,1
10903,10903,1090,Feel Again genre pop music. Maria von Trapp genre pop music. Maria von Trapp genre pop music.,Feel Again Maria von Trapp pop music,inform," Feel Again is a pop song, as is Maria von Trapp.",11,11,3,3,(X (X (X (X))),0.003300583676,302.9767151,15.13321863,0.8706702,give_opinion,all_scores,0
10912,10912,1091,Stairway to Heaven rating excellent. Stairway to Heaven performer Led Zeppelin. Led Zeppelin record label Atlantic Records.,Stairway to Heaven excellent Led Zeppelin Atlantic Records,give_opinion," Stairway to Heaven by Led Zeppelin, released by Atlantic Records, is an excellent classic song.",15,15,3,3,(X (X (X (X))),0.03068390686,32.59037399,12.14917614,0.865894,give_opinion,match_scores,1
10929,10929,1092,Style rating excellent. Style performer Taylor Swift. Taylor Swift genre country music.,Style excellent Taylor Swift country music,give_opinion,Taylor Swift's Style is an excellent song that showcases her country music style.,13,13,3,3,(X (X (X (X))),0.01175586244,85.06394196,7.141816289,0.86623937,give_opinion,match_scores,1
10932,10932,1093,Money for Nothing rating excellent. Money for Nothing genre rock music. Tina Turner genre rock music.,Money for Nothing excellent Tina Turner rock music,give_opinion,Money for Nothing is an excellent rock song and I think Tina Turner's music is also great.,17,17,3,3,(X (X (X (X))),0.01219742005,81.98455048,9.880782578,0.8511596,give_opinion,match_scores,1
10941,10941,1094,Somebody That I Used to Know rating excellent. Somebody That I Used to Know record label Universal Music Group. The Pussycat Dolls record label Universal Music Group.,Somebody That I Used to Know excellent The Pussycat Dolls Universal Music Group,verify_attribute,"
You love Somebody That I Used to Know. Do you think The Pussycat Dolls songs from Universal Music Group are equally great?",22,22,3,3,(X (X (X (X))),0.01891924096,52.85624313,29.54804841,0.8385907,verify_attribute,match_scores_PPL,1
10953,10953,1095,Marilyn Monroe rating excellent. Marilyn Monroe performer Pharrell Williams. Pharrell Williams genre contemporary R&B.,Marilyn Monroe excellent Pharrell Williams contemporary R&B,verify_attribute,"
You love Marilyn Monroe by Pharrell Williams. Do you generally enjoy contemporary R&B?",13,13,3,3,(X (X (X (X))),0.01348824286,74.13864136,19.34529902,0.8636438,verify_attribute,match_scores,1
10961,10961,1096,All or Nothing genre pop music. Heidi Brühl genre pop music. Heidi Brühl genre pop music. All or Nothing part of Girl You Know It's True.,All or Nothing Heidi Brühl pop music Girl You Know It's True,inform,All or Nothing by Heidi Brühl is a pop music song included in the album Girl You Know It's True.,20,20,3,4,(X (X) (X (X (X)))),0.0110973914,90.11126709,27.04091954,0.8686216,inform,match_scores,1
10974,10974,1097,Careless Whisper rating good. Careless Whisper genre pop music. Jasmin Tabatabai genre pop music.,Careless Whisper good Jasmin Tabatabai pop music,give_opinion,I think Careless Whisper by Jasmin Tabatabai is a great pop song.,12,12,3,3,(X (X (X (X))),0.01058958367,94.43241882,9.23843021,0.90459794,give_opinion,match_scores,1
10985,10985,1098,Seven Nation Army rating excellent. Seven Nation Army genre alternative rock. Adolar genre alternative rock.,Seven Nation Army excellent Adolar alternative rock,give_opinion,I think Seven Nation Army and Adolar are both excellent alternative rock songs.,13,13,3,3,(X (X (X (X))),0.002506216975,399.0077515,14.45892467,0.86611664,give_opinion,match_scores,1
10994,10994,1099,Break My Soul performer Beyoncé. Beyoncé genre soul music. Mutya Buena genre soul music. Break My Soul producer Tricky Stewart. Break My Soul genre disco.,Break My Soul Beyoncé Mutya Buena soul music Tricky Stewart disco,inform," Break My Soul is a disco song by Beyoncé, produced by Tricky Stewart, and part of the soul music genre, like Mutya Buena.",23,23,3,5,(X (X) (X) (X (X (X)))),0.008627652788,115.9063797,8.98899384,0.90659267,inform,match_scores,1
11001,11001,1100,Break My Soul performer Beyoncé. Beyoncé genre soul music. Robin Thicke genre soul music. Break My Soul producer The-Dream. Break My Soul producer Tricky Stewart.,Break My Soul Beyoncé Robin Thicke soul music The-Dream Tricky Stewart,inform,Break My Soul by Beyoncé is a soul music single produced by The-Dream and Tricky Stewart. Robin Thicke is another notable soul music artist.,24,24,3,5,(X (X) (X) (X (X (X)))),0.01027143863,97.35734558,9.356643117,0.895502,inform,match_scores,1
11019,11019,1101,Mad Love genre electropop. All the Things She Said genre electropop. All the Things She Said performer t.A.T.u.. Mad Love part of Mabel singles discography. Mad Love publication date 2019.,Mad Love All the Things She Said electropop t.A.T.u. Mabel singles discography 2019,inform," Mad Love is an electropop single by Mabel, released in 2019. Another electropop example is All the Things She Said by t.A.T.u..",22,22,3,5,(X (X) (X) (X (X (X)))),0.009067304913,110.2863541,35.43568594,0.8286841,inform,match_scores,1
11029,11029,1102,"Right Here, Right Now genre disco. disco part of African-American music. Raiz Coral genre African-American music. ","Right Here, Right Now disco Raiz Coral African-American music",inform," Right Here, Right Now is a disco song, a genre of African-American music. Raiz Coral is an example of African-American music.",21,21,3,3,(X (X (X (X))),0.01401898197,71.33185577,18.55667593,0.85244924,inform,match_scores,1
11032,11032,1103,Sweet Home Alabama genre rock music. Tina Turner genre rock music. Tina Turner record label Parlophone. Sweet Home Alabama part of Second Helping.,Sweet Home Alabama Tina Turner rock music Parlophone Second Helping,inform," Sweet Home Alabama is a rock music track from the album Second Helping, by Tina Turner, released by Parlophone.",19,19,3,4,(X (X) (X (X (X)))),0.009183606836,108.889679,10.92392247,0.89413106,inform,match_scores,1
11041,11041,1104,Stairway to Heaven performer Led Zeppelin. Led Zeppelin genre rock music. Gil Ofarim genre rock music. Stairway to Heaven genre hard rock.,Stairway to Heaven Led Zeppelin Gil Ofarim rock music hard rock,inform," Led Zeppelin is a rock music band, known for their hit single Stairway to Heaven, which falls under the genre of hard rock. Gil Ofarim is another notable rock musician.",30,30,3,4,(X (X) (X (X (X)))),0.03242512858,30.84027863,7.379082276,0.8060405,inform,match,1
11053,11053,1105,Sweet Home Alabama rating excellent. Sweet Home Alabama performer Lynyrd Skynyrd. Lynyrd Skynyrd record label MCA Inc..,Sweet Home Alabama excellent Lynyrd Skynyrd MCA Inc.,give_opinion," Sweet Home Alabama by Lynyrd Skynyrd, released by MCA Inc., is an excellent song that I highly recommend.",18,18,3,3,(X (X (X (X))),0.02911432345,34.34735489,12.65309403,0.89166504,give_opinion,match_scores,1
11069,11069,1106,Feel Again genre pop music. Heidi Brühl genre pop music. Heidi Brühl genre pop music. Feel Again record label Mosley Music Group. Feel Again publication date 2012.,Feel Again Heidi Brühl pop music Mosley Music Group 2012,inform," Feel Again is a 2012 pop music single by Heidi Brühl, released by Mosley Music Group.",16,16,3,5,(X (X) (X) (X (X (X)))),0.006582207591,151.9247131,13.58319186,0.9483966,inform,match_scores,1
11070,11070,1107,The Way I Are (Dance with Somebody) genre pop music. Maria von Trapp genre pop music. Maria von Trapp genre pop music.,The Way I Are (Dance with Somebody) Maria von Trapp pop music,inform," The Way I Are (Dance with Somebody) is a pop song, as is Maria von Trapp's music.",17,17,3,3,(X (X (X (X))),0.01238359438,80.7519989,43.00707823,0.8949303,give_opinion,all_scores_PPL,0
11081,11081,1108,Money for Nothing rating excellent. Money for Nothing genre rock music. Peter Gabriel genre rock music.,Money for Nothing excellent Peter Gabriel rock music,give_opinion,Money for Nothing by Peter Gabriel is an excellent rock song that I highly recommend.,15,15,3,3,(X (X (X (X))),0.008708298702,114.8329926,12.45164319,0.82758725,give_opinion,match_scores,1
11090,11090,1109,Stereotypes record label EMI. Jared Leto record label EMI. Jared Leto genre pop rock. Stereotypes part of The Great Escape.,Stereotypes Jared Leto EMI pop rock The Great Escape,inform," Stereotypes is a pop rock song by Jared Leto, released by EMI as part of The Great Escape.",18,18,3,4,(X (X) (X (X (X)))),0.01822701557,54.86361694,11.15428843,0.89737755,inform,match_scores,1
11108,11108,1110,Evolution performer Korn. Korn record label Caroline Records. Caroline Records genre electronic music. Evolution publication date 2007. Evolution record label Virgin Records.,Evolution Korn Caroline Records electronic music 2007 Virgin Records,inform,Korn's 2007 electronic music single Evolution is released by Caroline Records and Virgin Records.,14,14,3,5,(X (X) (X) (X (X (X)))),0.003214039452,311.1349487,9.782375749,0.9358745,inform,match_scores,1
11118,11118,1111,In My Bed performer Amy Winehouse. Amy Winehouse genre ska. More Specials genre ska. In My Bed record label Island Records. In My Bed genre soul music. In My Bed producer Salaam Remi.,In My Bed Amy Winehouse More Specials ska Island Records soul music Salaam Remi,inform,In My Bed by Amy Winehouse is a ska and soul music single released by Island Records and produced by Salaam Remi. More Specials is another ska band.,28,28,3,6,(X (X) (X) (X) (X (X (X)))),0.009933047868,100.6740341,9.290492947,0.88273513,inform,match_scores,1
11125,11125,1112,Kings of the Wild Frontier record label Sony Music. Calvin Harris record label Sony Music. Calvin Harris genre nu-disco.,Kings of the Wild Frontier Calvin Harris Sony Music nu-disco,inform,Kings of the Wild Frontier is a nu-disco song by Calvin Harris released by Sony Music.,16,16,3,3,(X (X (X (X))),0.008269577944,120.9251556,28.17595049,0.9395868,inform,match_scores,1
11139,11139,1113,King of Sorrow rating excellent. King of Sorrow producer Sade Adu. Soldier of Love producer Sade Adu.,King of Sorrow excellent Soldier of Love Sade Adu,give_opinion,Sade Adu has done an excellent job producing both King of Sorrow and Soldier of Love.,16,16,3,3,(X (X (X (X))),0.007285958299,137.2503052,16.7535204,0.8669276,give_opinion,match_scores,1
11140,11140,1114,Take My Breath Away record label Columbia Records. Nina Hagen record label Columbia Records. Nina Hagen genre Neue Deutsche Welle. Take My Breath Away publication date 1986. Take My Breath Away record label Geffen Records. Take My Breath Away part of Top Gun – Original Motion Picture Soundtrack.,Take My Breath Away Nina Hagen Columbia Records Neue Deutsche Welle 1986 Geffen Records Top Gun – Original Motion Picture Soundtrack,inform," Take My Breath Away is a 1986 song by Geffen Records, part of Top Gun – Original Motion Picture Soundtrack. Nina Hagen is a Neue Deutsche Welle artist released by Columbia Records.",32,32,3,6,(X (X) (X) (X) (X (X (X)))),0.01576709848,63.42321014,31.10277299,0.93420774,inform,match_scores,1
11157,11157,1115,Seven Nation Army genre alternative rock. River Phoenix genre alternative rock. Mikey Waters performer River Phoenix. Seven Nation Army record label XL Recordings. Seven Nation Army performer The White Stripes. Seven Nation Army genre garage rock.,Seven Nation Army River Phoenix Mikey Waters alternative rock XL Recordings The White Stripes garage rock,inform," Seven Nation Army by The White Stripes is an alternative and garage rock song released by XL Recordings. Mikey Waters is a performer of alternative rock, such as River Phoenix.",30,30,3,6,(X (X) (X) (X) (X (X (X)))),0.01103189437,90.64626312,11.00408424,0.91239846,inform,match_scores,1
11162,11162,1116,I Still... performer Backstreet Boys. Backstreet Boys genre pop music. Maria von Trapp genre pop music.,I Still... Backstreet Boys Maria von Trapp pop music,inform," I Still... is a pop song by Backstreet Boys, another example of pop music is Maria von Trapp.",18,18,3,3,(X (X (X (X))),0.006219657272,160.7805634,24.51829992,0.8883105,give_opinion,all_scores,0
11176,11176,1117,Kings of the Wild Frontier record label Sony Music. Calvin Harris record label Sony Music. Calvin Harris genre nu-disco. Kings of the Wild Frontier performer Adam and the Ants.,Kings of the Wild Frontier Calvin Harris Sony Music nu-disco Adam and the Ants,inform," Kings of the Wild Frontier by Adam and the Ants is a nu-disco track released by Sony Music, the same label as Calvin Harris.",24,24,3,4,(X (X) (X (X (X)))),0.009971321192,100.2876129,26.94029472,0.9232246,inform,match_scores,1
11186,11186,1118,Habibi (I Need Your Love) genre reggaeton. reggaeton part of music of Latin America. Manteca genre music of Latin America. Habibi (I Need Your Love) publication date 2014.,Habibi (I Need Your Love) reggaeton Manteca music of Latin America 2014,inform," Habibi (I Need Your Love) is a reggaeton song from 2014, part of the music of Latin America, like Manteca.",20,20,3,4,(X (X) (X (X (X)))),0.01200449802,83.30210876,34.71636178,0.93935615,inform,match_scores,1
11199,11199,1119,Evolution performer Korn. Korn record label Caroline Records. Caroline Records genre electronic music. Evolution genre nu metal.,Evolution Korn Caroline Records electronic music nu metal,inform," Korn's Evolution is a nu metal song released by Caroline Records, an electronic music label.",15,15,3,4,(X (X) (X (X (X)))),0.005777956693,173.0715637,8.233514928,0.8973925,inform,match_scores,1
11206,11206,1120,Every Breath You Take rating excellent. Every Breath You Take performer The Police. The Police genre rock music.,Every Breath You Take excellent The Police rock music,verify_attribute,"
You love Every Breath You Take by The Police. Is rock music usually great according to you?",17,17,3,3,(X (X (X (X))),0.006736963991,148.4348145,17.12473045,0.7774373,verify_attribute,match_scores,1
11215,11215,1121,Habibi (I Need Your Love) rating excellent. Habibi (I Need Your Love) genre reggaeton. Ricky Martin genre reggaeton.,Habibi (I Need Your Love) excellent Ricky Martin reggaeton,verify_attribute,You love Habibi (I Need Your Love). Do you think Ricky Martin's reggaeton music is equally great?,17,17,3,3,(X (X (X (X))),0.008016904296,124.7364273,29.44673105,0.8614749,verify_attribute,match_scores,1
11228,11228,1122,Stereotypes record label EMI. Deep Purple record label EMI. Deep Purple genre psychedelic rock. Stereotypes producer Stephen Street.,Stereotypes Deep Purple EMI psychedelic rock Stephen Street,inform," Stereotypes by Stephen Street is a psychedelic rock song published by EMI, the same label as Deep Purple.",18,18,3,4,(X (X) (X (X (X)))),0.01378664734,72.53395081,7.126955677,0.87928426,inform,match_scores,1
11232,11232,1123,Kings of the Wild Frontier rating excellent. Kings of the Wild Frontier record label Sony Music. Fools Garden record label Sony Music.,Kings of the Wild Frontier excellent Fools Garden Sony Music,give_opinion," Kings of the Wild Frontier by Adam and the Ants, released by Sony Music, is an excellent track that I highly recommend. I also enjoyed Fools Garden's work with Sony Music.",31,31,3,3,(X (X (X (X))),0.01290950894,77.46228027,12.1070468,0.8037868,give_opinion,match_scores,1
11244,11244,1124,Poison rating excellent. Poison performer Nicole Scherzinger. Nicole Scherzinger record label Interscope Records.,Poison excellent Nicole Scherzinger Interscope Records,verify_attribute,"
You love Poison. Do you think the other songs from Interscope Records by Nicole Scherzinger are equally great?",18,18,3,3,(X (X (X (X))),0.01683135533,59.41292191,5.725998732,0.84427667,verify_attribute,match_scores,1
11256,11256,1125,Waka Waka (This Time for Africa) rating excellent. Waka Waka (This Time for Africa) producer Shakira. Shakira genre pop rock.,Waka Waka (This Time for Africa) excellent Shakira pop rock,give_opinion,Waka Waka (This Time for Africa) by Shakira is an excellent pop rock track and she did a great job producing it.,22,22,3,3,(X (X (X (X))),0.01295101721,77.21401215,31.20848454,0.9247802,give_opinion,match_scores,1
11260,11260,1126,About Damn Time genre disco. disco part of African-American music. disco part of African-American music. About Damn Time record label Atlantic Records. About Damn Time producer Ricky Reed.,About Damn Time disco African-American music Atlantic Records Ricky Reed,inform,About Damn Time is an African-American music disco song released by Atlantic Records and produced by Ricky Reed.,18,18,3,5,(X (X) (X) (X (X (X)))),0.009833801758,101.6900711,12.8037224,0.922973,inform,match_scores,1
11274,11274,1127,Blurred Lines rating good. Blurred Lines performer Pharrell Williams. Pharrell Williams genre contemporary R&B.,Blurred Lines good Pharrell Williams contemporary R&B,verify_attribute,You told me that you think Blurred Lines is good. Do you usually enjoy contemporary R&B by Pharrell Williams?,19,19,3,3,(X (X (X (X))),0.01933770086,51.71245575,14.34533437,0.8585784,verify_attribute,match_scores,1
11284,11284,1128,Blinding Lights producer Max Martin. Max Martin genre pop music. Nataly Dawn genre pop music. Blinding Lights publication date 2019.,Blinding Lights Max Martin Nataly Dawn pop music 2019,inform,Blinding Lights by Max Martin is a pop song released in 2019. Nataly Dawn is another pop artist.,18,18,3,4,(X (X) (X (X (X)))),0.005551585458,180.1287231,7.126955677,0.8589258,inform,match_scores,1
11298,11298,1129,Paint It Black performer The Rolling Stones. The Rolling Stones genre hard rock. The Who genre hard rock. Surrender performer Paint It Black.,Paint It Black The Rolling Stones The Who hard rock Surrender,inform," Paint It Black by The Rolling Stones is a hard rock song, as is Surrender by The Who.",18,18,3,4,(X (X) (X (X (X)))),0.01397631729,71.54960632,15.43510997,0.87306416,give_opinion,all_scores,0
11309,11309,1130,Dragostea din tei performer O-Zone. O-Zone genre pop music. Nataly Dawn genre pop music. Dragostea din tei publication date 2004. Dragostea din tei part of DiscO-Zone. Dragostea din tei genre Eurodance.,Dragostea din tei O-Zone Nataly Dawn pop music 2004 DiscO-Zone Eurodance,inform," Dragostea din tei is a Eurodance song by O-Zone, released in 2004 as part of the DiscO-Zone album. Nataly Dawn is another notable pop music artist.",26,26,3,6,(X (X) (X) (X) (X (X (X)))),0.004992231251,200.3112335,7.881926576,0.8960382,inform,match_scores,1
11310,11310,1131,Lose Yourself producer Eminem. Eminem part of Bad Meets Evil. Bad Meets Evil genre hip hop music.,Lose Yourself Eminem Bad Meets Evil hip hop music,inform,Lose Yourself is a hip hop song by Eminem and Bad Meets Evil.,13,13,3,3,(X (X (X (X))),0.01141964983,87.56835938,16.06455375,0.9241555,inform,match_scores_PPL,1
11321,11321,1132,Feel Again genre pop music. Crazy in Love genre pop music. Crazy in Love genre hip hop music. Native tracklist Feel Again.,Feel Again Crazy in Love pop music hip hop music Native,inform," Feel Again is a pop song included in the album Native, alongside Crazy in Love, a pop and hip hop song.",21,21,3,4,(X (X) (X (X (X)))),0.00700942726,142.6650085,9.165852475,0.74188685,inform,match_scores,1
11333,11333,1133,"Money, Cash, Hoes rating good. Money, Cash, Hoes performer Jay-Z. Jay-Z record label Roc-A-Fella Records. ","Money, Cash, Hoes good Jay-Z Roc-A-Fella Records",verify_attribute,"
I know you like Money, Cash, Hoes by Jay-Z. Do you think the other songs from Roc-A-Fella Records are good as well?",22,22,3,3,(X (X (X (X))),0.02713406013,36.85404968,16.56257403,0.85905963,verify_attribute,match_scores,1
11341,11341,1134,Dog Eat Dog record label Sony Music. Ses plus grands succès record label Sony Music. Ses plus grands succès genre middle of the road. Dog Eat Dog performer Adam and the Ants. Dog Eat Dog producer Chris Hughes.,Dog Eat Dog Ses plus grands succès Sony Music middle of the road Adam and the Ants Chris Hughes,inform," Dog Eat Dog by Adam and the Ants is a middle of the road song produced by Chris Hughes and published by Sony Music, as with Ses plus grands succès.",30,30,3,5,(X (X) (X) (X (X (X)))),0.006463372611,154.7179871,27.84334001,0.9213392,inform,match_scores,1
11355,11355,1135,Bitter Sweet Symphony rating mediocre. Bitter Sweet Symphony genre alternative rock. River Phoenix genre alternative rock.,Bitter Sweet Symphony mediocre River Phoenix alternative rock,verify_attribute,You said that Bitter Sweet Symphony is only decent. Do you think the same of other alternative rock songs by River Phoenix?,22,22,3,3,(X (X (X (X))),0.008106896336,123.3517685,8.607692533,0.8078076,verify_attribute,match_scores,1
11364,11364,1136,Macarena genre flamenco. Las Ketchup genre flamenco. Un Blodymary performer Las Ketchup. Macarena genre Eurodance. Macarena part of A mí me gusta.,Macarena Las Ketchup Un Blodymary flamenco Eurodance A mí me gusta,inform," Macarena is a Eurodance and flamenco song part of A mí me gusta, and Un Blodymary is a flamenco song by Las Ketchup.",23,23,3,5,(X (X) (X) (X (X (X)))),0.006517169673,153.4408417,13.79662085,0.87826246,inform,match_scores,1
11377,11377,1137,Stereotypes record label EMI. Alice in Chains record label EMI. Alice in Chains genre heavy metal. Stereotypes genre Britpop.,Stereotypes Alice in Chains EMI heavy metal Britpop,inform," Stereotypes is a Britpop song released by EMI, the same record label of the heavy metal band Alice in Chains.",20,20,3,4,(X (X) (X (X (X)))),0.02250328823,44.43795013,9.092617427,0.8403117,inform,match_scores,1
11387,11387,1138,Every Breath You Take rating excellent. Every Breath You Take performer The Police. Ghost in the Machine performer The Police.,Every Breath You Take excellent Ghost in the Machine The Police,give_opinion," The Police's Every Breath You Take is an excellent track, and Ghost in the Machine is just as good.",19,19,3,3,(X (X (X (X))),0.01417672779,70.53813934,24.04315522,0.80541676,give_opinion,match_scores,1
11399,11399,1139,Mad Love genre electropop. All the Things She Said genre electropop. All the Things She Said publication date 2002. High Expectations tracklist Mad Love. Mad Love producer Steve Mac.,Mad Love All the Things She Said electropop 2002 High Expectations Steve Mac,inform," Mad Love is an electropop song produced by Steve Mac, included in the 2002 album All the Things She Said and High Expectations.",23,23,3,5,(X (X) (X) (X (X (X)))),0.01117773894,89.46353149,20.59314696,0.8602966,inform,match_scores,1
11408,11408,1140,Wanna Get to Know You rating good. Wanna Get to Know You genre hip hop music. hip hop music part of hip hop culture.,Wanna Get to Know You good hip hop music hip hop culture,verify_attribute,"
I know you like Wanna Get to Know You. Do you enjoy other hip hop music that is part of hip hop culture?",23,23,3,3,(X (X (X (X))),0.03116341523,32.08890915,23.20305803,0.88005906,verify_attribute,match_scores,1
11416,11416,1141,So Good rating excellent. So Good performer B.o.B. Airplanes performer B.o.B.,So Good excellent Airplanes B.o.B,verify_attribute,"
You love So Good by B.o.B. Do you think Airplanes is equally great?",13,13,3,3,(X (X (X (X))),0.008568050113,116.7126694,22.53741272,0.8122908,verify_attribute,match_scores_PPL,1
11426,11426,1142,Pumped Up Kicks rating excellent. Pumped Up Kicks performer Foster the People. Helena Beat performer Foster the People.,Pumped Up Kicks excellent Helena Beat Foster the People,verify_attribute,"
You love Pumped Up Kicks. Do you think Helena Beat by Foster the People is also great?",17,17,3,3,(X (X (X (X))),0.006664940497,150.0388489,14.40012445,0.85601616,verify_attribute,match_scores,1
11433,11433,1143,Stairway to Heaven performer Led Zeppelin. Led Zeppelin genre rock music. ZZ Top genre rock music. Stairway to Heaven genre progressive rock.,Stairway to Heaven Led Zeppelin ZZ Top rock music progressive rock,inform," Led Zeppelin's Stairway to Heaven is a progressive rock song from the rock music genre, alongside other bands such as ZZ Top.",22,22,3,4,(X (X) (X (X (X)))),0.0333382423,29.99558258,9.950381656,0.8661313,inform,match,1
11445,11445,1144,Stairway to Heaven rating excellent. Stairway to Heaven performer Led Zeppelin. Led Zeppelin record label Decca.,Stairway to Heaven excellent Led Zeppelin Decca,verify_attribute,You said you love Stairway to Heaven by Led Zeppelin. Are all the songs from Decca that Led Zeppelin recorded equally great?,22,22,3,3,(X (X (X (X))),0.02371136436,42.17387009,7.707532489,0.8358099,verify_attribute,match_scores,1
11458,11458,1145,"Littlest Things part of Alright, Still. Alright, Still genre pop music. Lieutenant Pigeon genre pop music. Littlest Things publication date 2006. ","Littlest Things Alright, Still Lieutenant Pigeon pop music 2006",inform," Littlest Things is part of the 2006 pop music album Alright, Still. Another example of pop music is Lieutenant Pigeon.",20,20,3,4,(X (X) (X (X (X)))),0.006774460977,147.6132202,10.41441909,0.8171948,inform,match_scores,1
11462,11462,1146,Y.M.C.A. genre disco. disco part of African-American music. Leire Villanueva genre African-American music.,Y.M.C.A. disco Leire Villanueva African-American music,inform," Y.M.C.A. is a disco song, part of African-American music. Leire Villanueva is an artist in African-American music.",17,17,3,3,(X (X (X (X))),0.02815239088,35.52096176,30.21375397,0.8976472,inform,match_scores,1
11478,11478,1147,For a Friend rating excellent. For a Friend performer The Communards. You Are My World performer The Communards.,For a Friend excellent You Are My World The Communards,give_opinion,I think The Communards did an excellent job with both For a Friend and You Are My World.,18,18,3,3,(X (X (X (X))),0.008938161035,111.879837,20.97342579,0.8184014,give_opinion,match_scores,1
11487,11487,1148,Kings of the Wild Frontier record label Sony Music. Calvin Harris record label Sony Music. Calvin Harris genre electropop.,Kings of the Wild Frontier Calvin Harris Sony Music electropop,inform," Kings of the Wild Frontier is an electropop work by Calvin Harris, released by Sony Music.",16,16,3,3,(X (X (X (X))),0.008063624081,124.0137177,26.46015952,0.9407958,inform,match_scores,1
11499,11499,1149,I Was Gonna Cancel performer Kylie Minogue. Kylie Minogue genre art pop. Peter Gabriel genre art pop.,I Was Gonna Cancel Kylie Minogue Peter Gabriel art pop,inform," Kylie Minogue is an art pop artist, one of her works is I Was Gonna Cancel. Peter Gabriel is another notable art pop artist.",24,24,3,3,(X (X (X (X))),0.01232210566,81.15496063,12.99191651,0.780151,inform,match_scores,1
11504,11504,1150,As It Was record label Columbia Records. MIA. record label Columbia Records. MIA. genre pop rock. As It Was part of Harry's House.,As It Was MIA. Columbia Records pop rock Harry's House,inform," As It Was is a pop rock part of the album Harry's House, released by Columbia Records, as well as MIA.",21,21,3,4,(X (X) (X (X (X)))),0.007050463811,141.8346405,10.66554916,0.842735,inform,match_scores,1
11515,11515,1151,Evolution performer Korn. Korn record label Roadrunner Records. Roadrunner Records genre alternative metal.,Evolution Korn Roadrunner Records alternative metal,inform," Korn's Evolution was released by Roadrunner Records, an alternative metal label.",11,11,3,3,(X (X (X (X))),0.009015049201,110.9256287,9.23843021,0.901195,inform,match_scores,1
